,Country,ISO3 Code,Date,Price (EUR/MWhe)
63628,Norway,NOR,2016-03-02,21.93
63629,Norway,NOR,2016-03-03,22.42
63630,Norway,NOR,2016-03-04,22.18
63631,Norway,NOR,2016-03-05,20.11
63632,Norway,NOR,2016-03-06,19.79
63633,Norway,NOR,2016-03-07,23.31
63634,Norway,NOR,2016-03-08,24.88
63635,Norway,NOR,2016-03-09,22.6
63636,Norway,NOR,2016-03-10,23.41
63637,Norway,NOR,2016-03-11,24.53
63638,Norway,NOR,2016-03-12,22.36
63639,Norway,NOR,2016-03-13,21.46
63640,Norway,NOR,2016-03-14,22.15
63641,Norway,NOR,2016-03-15,21.94
63642,Norway,NOR,2016-03-16,21.65
63643,Norway,NOR,2016-03-17,21.86
63644,Norway,NOR,2016-03-18,21.66
63645,Norway,NOR,2016-03-19,21.38
63646,Norway,NOR,2016-03-20,20.39
63647,Norway,NOR,2016-03-21,21.46
63648,Norway,NOR,2016-03-22,21.74
63649,Norway,NOR,2016-03-23,21.54
63650,Norway,NOR,2016-03-24,21.14
63651,Norway,NOR,2016-03-25,20.52
63652,Norway,NOR,2016-03-26,19.35
63653,Norway,NOR,2016-03-27,16.95
63654,Norway,NOR,2016-03-28,17.23
63655,Norway,NOR,2016-03-29,19.99
63656,Norway,NOR,2016-03-30,21.42
63657,Norway,NOR,2016-03-31,21.74
63658,Norway,NOR,2016-04-01,22.14
63659,Norway,NOR,2016-04-02,20.42
63660,Norway,NOR,2016-04-03,19.81
63661,Norway,NOR,2016-04-04,22.49
63662,Norway,NOR,2016-04-05,22.26
63663,Norway,NOR,2016-04-06,20.62
63664,Norway,NOR,2016-04-07,20.41
63665,Norway,NOR,2016-04-08,21.57
63666,Norway,NOR,2016-04-09,21.28
63667,Norway,NOR,2016-04-10,20.38
63668,Norway,NOR,2016-04-11,22.08
63669,Norway,NOR,2016-04-12,21.95
63670,Norway,NOR,2016-04-13,23.78
63671,Norway,NOR,2016-04-14,22.9
63672,Norway,NOR,2016-04-15,22.13
63673,Norway,NOR,2016-04-16,20.64
63674,Norway,NOR,2016-04-17,19.41
63675,Norway,NOR,2016-04-18,20.76
63676,Norway,NOR,2016-04-19,20.48
63677,Norway,NOR,2016-04-20,21.69
63678,Norway,NOR,2016-04-21,21.28
63679,Norway,NOR,2016-04-22,21.57
63680,Norway,NOR,2016-04-23,21.66
63681,Norway,NOR,2016-04-24,21.57
63682,Norway,NOR,2016-04-25,24.0
63683,Norway,NOR,2016-04-26,23.85
63684,Norway,NOR,2016-04-27,23.85
63685,Norway,NOR,2016-04-28,25.17
63686,Norway,NOR,2016-04-29,22.43
63687,Norway,NOR,2016-04-30,22.44
63688,Norway,NOR,2016-05-01,21.69
63689,Norway,NOR,2016-05-02,24.6
63690,Norway,NOR,2016-05-03,24.21
63691,Norway,NOR,2016-05-04,25.01
63692,Norway,NOR,2016-05-05,21.07
63693,Norway,NOR,2016-05-06,21.62
63694,Norway,NOR,2016-05-07,18.24
63695,Norway,NOR,2016-05-08,16.25
63696,Norway,NOR,2016-05-09,21.67
63697,Norway,NOR,2016-05-10,23.05
63698,Norway,NOR,2016-05-11,23.11
63699,Norway,NOR,2016-05-12,22.99
63700,Norway,NOR,2016-05-13,23.5
63701,Norway,NOR,2016-05-14,20.28
63702,Norway,NOR,2016-05-15,20.1
63703,Norway,NOR,2016-05-16,22.18
63704,Norway,NOR,2016-05-17,23.96
63705,Norway,NOR,2016-05-18,25.78
63706,Norway,NOR,2016-05-19,26.99
63707,Norway,NOR,2016-05-20,24.28
63708,Norway,NOR,2016-05-21,22.71
63709,Norway,NOR,2016-05-22,22.07
63710,Norway,NOR,2016-05-23,23.79
63711,Norway,NOR,2016-05-24,23.39
63712,Norway,NOR,2016-05-25,23.8
63713,Norway,NOR,2016-05-26,24.77
63714,Norway,NOR,2016-05-27,24.64
63715,Norway,NOR,2016-05-28,22.82
63716,Norway,NOR,2016-05-29,20.48
63717,Norway,NOR,2016-05-30,22.26
63718,Norway,NOR,2016-05-31,23.73
63719,Norway,NOR,2016-06-01,23.8
63720,Norway,NOR,2016-06-02,23.02
63721,Norway,NOR,2016-06-03,23.17
63722,Norway,NOR,2016-06-04,22.64
63723,Norway,NOR,2016-06-05,22.31
63724,Norway,NOR,2016-06-06,24.24
63725,Norway,NOR,2016-06-07,25.32
63726,Norway,NOR,2016-06-08,24.74
63727,Norway,NOR,2016-06-09,25.79
63728,Norway,NOR,2016-06-10,25.43
63729,Norway,NOR,2016-06-11,25.19
63730,Norway,NOR,2016-06-12,25.04
63731,Norway,NOR,2016-06-13,26.71
63732,Norway,NOR,2016-06-14,27.66
63733,Norway,NOR,2016-06-15,27.52
63734,Norway,NOR,2016-06-16,28.13
63735,Norway,NOR,2016-06-17,27.53
63736,Norway,NOR,2016-06-18,24.6
63737,Norway,NOR,2016-06-19,23.73
63738,Norway,NOR,2016-06-20,26.85
63739,Norway,NOR,2016-06-21,27.17
63740,Norway,NOR,2016-06-22,27.53
63741,Norway,NOR,2016-06-23,26.53
63742,Norway,NOR,2016-06-24,25.85
63743,Norway,NOR,2016-06-25,24.91
63744,Norway,NOR,2016-06-26,23.33
63745,Norway,NOR,2016-06-27,27.65
63746,Norway,NOR,2016-06-28,26.4
63747,Norway,NOR,2016-06-29,25.17
63748,Norway,NOR,2016-06-30,24.65
63749,Norway,NOR,2016-07-01,24.02
63750,Norway,NOR,2016-07-02,21.45
63751,Norway,NOR,2016-07-03,21.15
63752,Norway,NOR,2016-07-04,24.44
63753,Norway,NOR,2016-07-05,23.97
63754,Norway,NOR,2016-07-06,22.4
63755,Norway,NOR,2016-07-07,24.6
63756,Norway,NOR,2016-07-08,24.89
63757,Norway,NOR,2016-07-09,23.86
63758,Norway,NOR,2016-07-10,23.77
63759,Norway,NOR,2016-07-11,24.26
63760,Norway,NOR,2016-07-12,24.89
63761,Norway,NOR,2016-07-13,25.42
63762,Norway,NOR,2016-07-14,25.05
63763,Norway,NOR,2016-07-15,25.0
63764,Norway,NOR,2016-07-16,24.72
63765,Norway,NOR,2016-07-17,23.82
63766,Norway,NOR,2016-07-18,25.62
63767,Norway,NOR,2016-07-19,25.98
63768,Norway,NOR,2016-07-20,25.8
63769,Norway,NOR,2016-07-21,26.08
63770,Norway,NOR,2016-07-22,26.26
63771,Norway,NOR,2016-07-23,25.98
63772,Norway,NOR,2016-07-24,25.7
63773,Norway,NOR,2016-07-25,26.47
63774,Norway,NOR,2016-07-26,26.11
63775,Norway,NOR,2016-07-27,25.92
63776,Norway,NOR,2016-07-28,25.46
63777,Norway,NOR,2016-07-29,25.22
63778,Norway,NOR,2016-07-30,24.68
63779,Norway,NOR,2016-07-31,23.96
63780,Norway,NOR,2016-08-01,25.12
63781,Norway,NOR,2016-08-02,25.38
63782,Norway,NOR,2016-08-03,24.51
63783,Norway,NOR,2016-08-04,23.77
63784,Norway,NOR,2016-08-05,24.46
63785,Norway,NOR,2016-08-06,22.78
63786,Norway,NOR,2016-08-07,20.99
63787,Norway,NOR,2016-08-08,21.11
63788,Norway,NOR,2016-08-09,22.22
63789,Norway,NOR,2016-08-10,23.48
63790,Norway,NOR,2016-08-11,23.65
63791,Norway,NOR,2016-08-12,23.0
63792,Norway,NOR,2016-08-13,20.83
63793,Norway,NOR,2016-08-14,21.96
63794,Norway,NOR,2016-08-15,22.89
63795,Norway,NOR,2016-08-16,23.55
63796,Norway,NOR,2016-08-17,23.67
63797,Norway,NOR,2016-08-18,23.92
63798,Norway,NOR,2016-08-19,24.99
63799,Norway,NOR,2016-08-20,23.61
63800,Norway,NOR,2016-08-21,22.53
63801,Norway,NOR,2016-08-22,25.02
63802,Norway,NOR,2016-08-23,25.55
63803,Norway,NOR,2016-08-24,24.68
63804,Norway,NOR,2016-08-25,24.89
63805,Norway,NOR,2016-08-26,24.29
63806,Norway,NOR,2016-08-27,23.15
63807,Norway,NOR,2016-08-28,22.43
63808,Norway,NOR,2016-08-29,24.73
63809,Norway,NOR,2016-08-30,25.4
63810,Norway,NOR,2016-08-31,24.07
63811,Norway,NOR,2016-09-01,23.73
63812,Norway,NOR,2016-09-02,23.75
63813,Norway,NOR,2016-09-03,23.08
63814,Norway,NOR,2016-09-04,22.45
63815,Norway,NOR,2016-09-05,23.93
63816,Norway,NOR,2016-09-06,24.74
63817,Norway,NOR,2016-09-07,24.05
63818,Norway,NOR,2016-09-08,24.66
63819,Norway,NOR,2016-09-09,23.88
63820,Norway,NOR,2016-09-10,23.5
63821,Norway,NOR,2016-09-11,23.18
63822,Norway,NOR,2016-09-12,24.72
63823,Norway,NOR,2016-09-13,24.54
63824,Norway,NOR,2016-09-14,24.6
63825,Norway,NOR,2016-09-15,24.15
63826,Norway,NOR,2016-09-16,23.84
63827,Norway,NOR,2016-09-17,23.71
63828,Norway,NOR,2016-09-18,23.58
63829,Norway,NOR,2016-09-19,25.76
63830,Norway,NOR,2016-09-20,25.7
